eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
2351.82,13.08,218,0.007247683,0.1796875,0.56700766,-0.01748725,0.04001079,0.5912297070026398,1886,241408,1860.840418822,482816
2351.82,13.08,287,0.005496632,0.13769531,0.45095605,-0.012033736,0.01283589,0.7810902744531631,1887,241536,1861.730198945,483072
2341.5,13.24,286,0.008106751,0.14648438,0.5515246,-0.018400973,0.007106281,0.8297181576490402,1888,241664,1862.6233525650002,483328
2341.5,13.24,285,0.0070098983,0.16699219,0.59025556,-0.015686963,0.024305746,0.7450456917285919,1889,241792,1863.5199829350001,483584
2341.5,13.24,290,0.010029108,0.16308594,0.44552013,-0.017696807,0.006192178,0.8332900553941727,1890,241920,1864.402594373,483840
2341.5,13.24,287,0.005710697,0.14453125,0.4830542,-0.013183329,0.0032759032,0.9479536972939968,1891,242048,1865.2922466880002,484096
2341.5,13.24,283,0.008482088,0.15039062,0.41810745,-0.012062386,0.0022580293,0.9557882845401764,1892,242176,1866.1945200490002,484352
2341.5,13.24,280,0.0065832837,0.1171875,0.36965394,-0.0083475085,0.0024327876,0.938081681728363,1893,242304,1867.1066355260002,484608
2341.5,13.24,292,0.0072100325,0.16894531,0.41942242,-0.013106587,0.0020264261,0.9642987586557865,1894,242432,1867.983389927,484864
2341.5,13.24,283,0.007828385,0.12597656,0.3788666,-0.013724979,0.0016495695,0.955256212502718,1895,242560,1868.888126347,485120
2341.5,13.24,270,0.015566098,0.15722656,0.36604097,-0.010511566,0.0016215733,0.9557653479278088,1896,242688,1869.8357246990001,485376
2341.5,13.24,237,0.006944848,0.18066406,0.5257955,-0.012037062,0.0018512136,0.9636679738759995,1897,242816,1870.9138876959998,485632
2341.5,13.24,193,0.007257403,0.16894531,0.40167248,-0.015322544,0.0012942288,0.9584059752523899,1898,242944,1872.234744302,485888
2341.5,13.24,203,0.0056136725,0.13476562,0.38559553,-0.012498459,0.002265264,0.9629519097507,1899,243072,1873.4914345290001,486144
2340.74,13.37,288,0.007795689,0.16699219,0.62030065,-0.020822134,0.0064267544,0.9027000218629837,1900,243200,1874.3807777270001,486400
2340.74,13.37,291,0.005214336,0.14941406,0.54852885,-0.016723495,0.05882393,0.6981198787689209,1901,243328,1875.25935611,486656
2340.74,13.37,294,0.007142902,0.18847656,0.76777387,-0.018683026,0.05479973,0.7863081693649292,1902,243456,1876.1287123270001,486912
2340.74,13.37,280,0.005277998,0.16601562,0.63131386,-0.01998872,0.04904659,0.8372156471014023,1903,243584,1877.0426014309999,487168
2330.88,13.55,282,0.0064549237,0.18652344,0.717108,-0.019568319,0.05106612,0.633525162935257,1904,243712,1877.950776596,487424
2330.88,13.55,284,0.006021957,0.21875,0.8904644,-0.017943272,0.05572895,0.47100669145584106,1905,243840,1878.8521021459999,487680
2315.79,13.43,280,0.013457267,0.16894531,0.87065786,-0.016561309,0.048173927,0.7017329633235931,1906,243968,1879.7667619699998,487936
2315.79,13.43,288,0.008033976,0.16894531,0.59223986,-0.017951053,0.061607286,0.06960177421569824,1907,244096,1880.6532326919998,488192
2315.79,13.43,290,0.009024601,0.17871094,0.57061845,-0.018227108,0.031190643,0.7791576236486435,1908,244224,1881.5355409740002,488448
2315.79,13.43,302,0.0073655937,0.15429688,0.39841452,-0.012934343,0.033635423,0.4966149926185608,1909,244352,1882.383030149,488704
2315.79,13.43,291,0.012457728,0.15917969,0.4565819,-0.015584723,0.01474888,0.8190310597419739,1910,244480,1883.260622522,488960
2315.79,13.43,197,0.005599016,0.13964844,0.47434634,-0.012565076,0.022670697,0.794404461979866,1911,244608,1884.5555177120002,489216
2315.79,13.43,188,0.008398855,0.15039062,0.371898,-0.013145536,0.022134133,0.7669941633939743,1912,244736,1885.9123728490001,489472
2315.79,13.43,272,0.0060783196,0.12011719,0.4420989,-0.009226498,0.013142352,0.8461513966321945,1913,244864,1886.8517724219998,489728
2315.79,13.43,288,0.011998558,0.17871094,0.4842505,-0.013269939,0.015134691,0.8030180931091309,1914,244992,1887.738459723,489984
2315.79,13.43,276,0.010818688,0.15429688,0.48357973,-0.013656543,0.020135956,0.8254229873418808,1915,245120,1888.6652198630002,490240
2315.79,13.43,283,0.009037153,0.13964844,0.40460676,-0.01597259,0.013105482,0.7347797453403473,1916,245248,1889.5677962900002,490496
2315.79,13.43,288,0.0067412094,0.123046875,0.36678082,-0.0116688125,0.010063974,0.7772499769926071,1917,245376,1890.456533537,490752
2315.79,13.43,283,0.0066809882,0.13574219,0.45393902,-0.014053504,0.0060036737,0.8872813433408737,1918,245504,1891.3601019250002,491008
2315.79,13.43,285,0.011664248,0.16503906,0.3777576,-0.009947563,0.011435807,0.6228722333908081,1919,245632,1892.2582816689999,491264
2315.79,13.43,293,0.008870364,0.15136719,0.44477487,-0.010774994,0.0052331816,0.8922258019447327,1920,245760,1893.1319349409998,491520
2315.79,13.43,291,0.00827718,0.1640625,0.4867188,-0.011064598,0.002451228,0.9354689419269562,1921,245888,1894.0105324970002,491776
2315.79,13.43,294,0.0077779377,0.140625,0.38446924,-0.0097590005,0.0030744425,0.9267467930912971,1922,246016,1894.880610812,492032
2315.79,13.43,277,0.010137068,0.15429688,0.5202036,-0.014284281,0.0030192232,0.9400263838469982,1923,246144,1895.8041226829998,492288
2309.3,13.65,201,0.012769803,0.16894531,0.53353095,-0.015154836,0.0032460985,0.906241163611412,1924,246272,1897.0772999080002,492544
2309.3,13.65,189,0.005935348,0.15332031,0.5141856,-0.01632118,0.0060911425,0.9320969954133034,1925,246400,1898.4311230679998,492800
2318.08,13.89,226,0.012091579,0.16308594,0.59363073,-0.015531089,0.014123252,0.8583285212516785,1926,246528,1899.563590822,493056
2318.08,13.89,262,0.0075014266,0.13769531,0.5550916,-0.017560646,0.005940525,0.8798486366868019,1927,246656,1900.5392589659998,493312
2318.08,13.89,280,0.008114646,0.13964844,0.4831661,-0.015715886,0.023824127,0.7716075778007507,1928,246784,1901.4527524809998,493568
2318.08,13.89,278,0.004411567,0.14550781,0.5474632,-0.014645727,0.0039261742,0.9300156980752945,1929,246912,1902.371251487,493824
